2,2016-02-19,20:51:28,2016-02-19,20:57:29,1,0.94,-73.96968079,40.75667572,1,N,-73.97238159,40.76532364,1,6,0.5,0.5,1.1,0,0.3,8.4
1,2016-02-19,20:51:29,2016-02-19,21:07:24,1,1.9,-73.97206116,40.75713348,1,N,-73.98767853,40.73279572,2,11,0.5,0.5,0,0,0.3,12.3
1,2016-02-19,20:51:29,2016-02-19,20:59:47,1,1,-73.99528503,40.74472427,1,N,-74.00343323,40.73187637,1,7,0.5,0.5,0,0,0.3,8.3
1,2016-02-19,20:51:29,2016-02-19,21:00:02,1,0.7,-73.98540497,40.73853302,1,N,-73.99433899,40.73480988,1,6.5,0.5,0.5,1.95,0,0.3,9.75
1,2016-02-19,20:51:29,2016-02-19,21:05:58,2,1.2,-73.97619629,40.74485016,1,N,-73.98754883,40.72872925,2,10,0.5,0.5,0,0,0.3,11.3
2,2016-02-19,20:51:29,2016-02-19,20:58:22,1,2.97,-73.87442017,40.77405167,1,N,-73.9213562,40.77294922,2,10.5,0.5,0.5,0,0,0.3,11.8
2,2016-02-19,20:51:29,2016-02-19,20:57:57,1,1.26,-73.95663452,40.81362152,1,N,-73.94182587,40.81773758,1,7,0.5,0.5,0,0,0.3,8.3
1,2016-02-19,20:51:30,2016-02-19,21:04:33,1,2.7,-73.98434448,40.77005386,1,N,-73.95575714,40.7734642,1,11.5,0.5,0.5,2.55,0,0.3,15.35
1,2016-02-19,20:51:30,2016-02-19,20:58:20,1,1.9,-73.95397949,40.77894974,1,N,-73.9486084,40.80067825,1,8,0.5,0.5,1.85,0,0.3,11.15
2,2016-02-19,20:51:30,2016-02-19,21:16:34,1,4.14,-74.00843048,40.73497009,1,N,-73.95804596,40.71531677,1,19,0.5,0.5,1,0,0.3,21.3
2,2016-02-19,20:51:30,2016-02-19,21:01:24,2,0.85,-73.98661041,40.73052216,1,N,-73.99832916,40.73521042,1,7.5,0.5,0.5,1.76,0,0.3,10.56
2,2016-02-19,20:51:30,2016-02-19,20:57:55,1,0.68,-73.99136353,40.75001144,1,N,-73.99319458,40.74480057,2,5.5,0.5,0.5,0,0,0.3,6.8
2,2016-02-19,20:51:30,2016-02-19,21:09:54,1,9.76,-73.9889679,40.7635994,1,N,-73.91694641,40.87829971,1,29,0.5,0.5,6.57,2.54,0.3,39.41
2,2016-02-19,20:51:30,2016-02-19,21:01:14,1,3.54,-73.97177887,40.79452896,1,N,-73.98371124,40.76477814,2,12.5,0.5,0.5,0,0,0.3,13.8
1,2016-02-19,20:51:31,2016-02-19,21:11:32,3,1.7,-73.99216461,40.72498703,1,N,-74.00538635,40.73933411,2,12.5,0.5,0.5,0,0,0.3,13.8
1,2016-02-19,20:51:31,2016-02-19,20:55:53,1,0.6,-73.98396301,40.74335861,1,N,-73.98388672,40.75056076,1,5,0.5,0.5,1,0,0.3,7.3
1,2016-02-19,20:51:31,2016-02-19,21:06:27,1,2.9,-74.00325012,40.727005,1,N,-73.97904205,40.76324844,1,12.5,0.5,0.5,2,0,0.3,15.8
2,2016-02-19,20:51:31,2016-02-19,21:01:13,1,1.24,-73.98085022,40.74604034,1,N,-73.99447632,40.74439621,1,8,0.5,0.5,1.86,0,0.3,11.16
2,2016-02-19,20:51:31,2016-02-19,21:27:51,1,15.67,-73.78985596,40.64692688,1,N,-73.95830536,40.71343994,1,43.5,0.5,0.5,8.96,0,0.3,53.76
2,2016-02-19,20:51:31,2016-02-19,21:12:07,1,2.17,-74.00048828,40.73004913,1,N,-73.97801208,40.74229813,1,13.5,0.5,0.5,2.96,0,0.3,17.76
2,2016-02-19,20:51:31,2016-02-19,21:02:53,1,2.17,-73.9622879,40.77909088,1,N,-73.98674774,40.76329041,1,10,0.5,0.5,2.26,0,0.3,13.56
2,2016-02-19,20:51:31,2016-02-19,21:01:46,6,1.75,-73.97727966,40.77251816,1,N,-73.97210693,40.75646973,2,9,0.5,0.5,0,0,0.3,10.3
